LRcode,leerresultaten,LDcode,leerdoelen,niveau,niveau_omschrijving,OLOD
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00018,Heeft inzicht in de werking van een client-side framework.,WI,Weten inzien,Front-end Web Development   (TI)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00018,Heeft inzicht in de werking van een client-side framework.,WI,Weten inzien,Front-end Web Development   (TIAO)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00018,Heeft inzicht in de werking van een client-side framework.,WI,Weten inzien,Front-end Web Development   (VC)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00019,Heeft inzicht in de werking van een enterprise Java server-side framework.,WI,Weten inzien,Enterprise Web Development: Java   (TI)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00019,Heeft inzicht in de werking van een enterprise Java server-side framework.,WI,Weten inzien,Enterprise Web Development: Java   (TIAO)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00019,Heeft inzicht in de werking van een enterprise Java server-side framework.,WI,Weten inzien,Enterprise Web Development: Java   (VC)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00019,Heeft inzicht in de werking van een enterprise Java server-side framework.,WI,Weten inzien,Enterprise Web Development: Java (English taught)   (TI)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00034,Kan autonoom een complexe en reële native mobiele applicatie ontwikkelen.,01,Algemeen,Real-life Integrated Software Engineering (IC)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00034,Kan autonoom een complexe en reële native mobiele applicatie ontwikkelen.,IN,Integreren,DevOps Project: Development   (TI)
B_TI_201,"De student kan kwaliteitsvolle IT-oplossingen efficiënt en autonoom ontwerpen, ontwikkelen, documenteren en testen, rekening houdend met nieuwe ontwikkelingen en toepassingsdomeinen.",B_TIN_D_00034,Kan autonoom een complexe en reële native mobiele applicatie ontwikkelen.,IN,Integreren,DevOps Project: Development   (TIAO)
